subject,image,set,trial,assistance,TimeUsed,meand,vard,meandTU,vardTU,maxdist,dkl,paa,imcode
2.0,3.0,1.0,1.0,2.0,10.0,6.9527400000000453e-310,23.010859295549601,6.9527400000000453e-310,0.0,151.845,6.9527399999999959e-310,0.0,824278.0
2.0,3.0,1.0,1.0,2.0,10.0,218.21801400000004,9113.0375087209286,218.21801400000004,9121.7276890303965,380.66399999999999,6.7317600000000004,0.0,186889.0
2.0,2.0,1.0,1.0,2.0,9.7100000381499996,185.43260644999998,14255.081141853423,185.43260644999998,14608.066239125954,445.71899999999999,6.5792700000000002,0.0,42437.0
2.0,3.0,1.0,1.0,2.0,8.9600000381499996,218.00594000000004,11621.270598297773,218.00594000000004,12516.430096330965,605.28300000000002,5.93316,0.0,453368.0
2.0,1.0,1.0,1.0,2.0,10.0,259.59870600000011,18744.212707581792,259.59870600000011,18762.582066228402,550.36400000000003,6.60276,0.0,840621.0
2.0,2.0,1.0,1.0,2.0,9.8900003433200006,166.24651285000007,13859.896774791971,166.24651285000007,13913.86817091285,440.40199999999999,7.4175199999999997,0.0,532430.0
2.0,1.0,1.0,1.0,2.0,9.5900001525899992,293.37773100000004,28382.002936318007,293.37773100000004,28107.150371904016,569.91399999999999,8.5755599999999994,0.0,946099.0
2.0,2.0,1.0,1.0,2.0,8.8599996566799994,155.71265790000001,11870.768869772051,155.71265790000001,12343.6869180834,424.97199999999998,7.1491300000000004,0.0,936733.0
2.0,4.0,1.0,1.0,2.0,9.7899999618500004,106.83860199999998,10303.448192785123,106.83860199999998,10060.080364615762,352.142,6.78226,0.0,364510.0
2.0,4.0,1.0,1.0,2.0,9.4399995803800003,52.189367899999986,7480.5568330732422,52.189367899999986,7018.9349439236994,279.30799999999999,6.3572899999999999,0.0,424166.0
2.0,1.0,1.0,1.0,2.0,9.0500001907299996,285.64326749999998,18161.970470713706,285.64326749999998,17503.538595441722,786.303,6.21563,0.0,642937.0
2.0,2.0,1.0,1.0,2.0,8.6999998092700004,146.58794345000001,15616.352859316799,146.58794345000001,16477.525167697837,442.94499999999999,6.9488000000000003,0.0,580575.0
2.0,1.0,1.0,1.0,2.0,8.4799995422399999,225.69658294999991,19449.848627185973,225.69658294999991,21737.486328958174,575.84699999999998,6.9466099999999997,0.0,966284.0
2.0,4.0,1.0,1.0,2.0,10.0,29.11452850000002,5404.9392711331548,29.11452850000002,5406.3024985349493,310.42099999999999,6.3538100000000002,0.0,945581.0
2.0,1.0,1.0,1.0,2.0,10.0,192.64155000000002,12564.759238286693,192.64155000000002,12574.841166669496,508.27199999999999,6.4863400000000002,0.0,735433.0
2.0,2.0,1.0,1.0,2.0,8.2399997711200008,241.63454999999999,10189.672343439046,241.63454999999999,12348.136787327736,543.88400000000001,6.34314,0.0,923303.0
2.0,4.0,1.0,1.0,2.0,10.0,129.0495315,6125.411863967337,129.0495315,6131.4603597385585,329.512,6.7220199999999997,0.0,530469.0
2.0,1.0,1.0,2.0,2.0,9.7799997329699995,162.72085254999996,15338.290430260109,162.72085254999996,14902.780028193347,494.84100000000001,5.8514299999999997,0.0,570731.0
2.0,2.0,1.0,2.0,2.0,8.6099996566799994,224.87712700000009,15612.595716814832,224.87712700000009,16901.588749298044,562.61599999999999,7.1143400000000003,0.0,495178.0
2.0,2.0,1.0,2.0,2.0,9.6899995803800003,196.2071785,15106.694290693216,196.2071785,15579.383760019813,540.26800000000003,7.8878500000000003,0.0,587688.0
2.0,3.0,1.0,1.0,2.0,9.1499996185299999,205.44712500000003,9621.4061191281053,205.44712500000003,10427.697758760049,444.03800000000001,6.1961599999999999,0.0,546384.0
2.0,3.0,1.0,1.0,2.0,8.42000007629,208.67842680000001,9507.4634102295331,208.67842680000001,10877.862184666212,425.065,6.0902000000000003,0.0,663887.0
2.0,1.0,1.0,2.0,2.0,8.8999996185299999,166.60424950000001,11306.042956332974,166.60424950000001,11448.732871343029,610.94000000000005,5.75373,0.0,459711.0
2.0,2.0,1.0,2.0,2.0,8.3199996948199999,215.49828999999994,9626.4776723555624,215.49828999999994,11143.105029705634,549.72799999999995,6.4323899999999998,0.0,448836.0
2.0,4.0,1.0,1.0,2.0,9.0500001907299996,36.922224149999977,15603.528524734676,36.922224149999977,10114.841500405802,350.0,6.7184900000000001,0.0,121499.0
2.0,3.0,1.0,2.0,2.0,8.0299997329699995,143.8559545,8396.7234979803234,143.8559545,10313.572921634654,402.34399999999999,6.0645600000000002,0.0,693827.0
2.0,4.0,1.0,2.0,2.0,9.1800003051800001,59.68689190000002,16135.199689160376,59.68689190000002,13622.15801386052,417.0,7.0168999999999997,0.0,852512.0
2.0,3.0,1.0,2.0,2.0,9.5600004196199997,249.76875749999999,9144.3916853670544,249.76875749999999,9547.9872407814346,411.41800000000001,5.8182600000000004,0.0,900531.0
2.0,4.0,1.0,2.0,2.0,9.32999992371,20.693949600000007,10476.120980617261,20.693949600000007,8742.1431431034671,369.0,6.6305500000000004,0.0,532084.0
2.0,1.0,1.0,2.0,2.0,8.0200004577600001,194.16703059999998,8040.5283856140568,194.16703059999998,7377.5084313870821,386.78800000000001,6.02203,0.0,754843.0
2.0,3.0,1.0,2.0,2.0,8.82999992371,83.758929099999989,7404.0162687031425,83.758929099999989,8157.3771184782918,403.76400000000001,6.4447599999999996,0.0,684749.0
2.0,4.0,1.0,2.0,2.0,9.1000003814700001,169.61832650000005,5394.3176234156826,169.61832650000005,5401.0573119468663,254.95099999999999,7.4601199999999999,0.0,587689.0
